external_id,baslik,mevcut_kategori,oneri_kategori,primary_error,secondary_error,is_boundary_case,boundary_competing_class,boundary_rationale,Manuel_Gerekce
1384215,"Dijital Araçların Nitel Araştırmalara Etkisi: Fırsatlar, Sınırlılıklar ve Etik Sorumluluklar","Bilim Felsefesi ve Tarihi, Felsefe, Sosyoloji","Bilgisayar Bilimleri, Sibernitik",Research topic -> discipline confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Başlıktaki 'yapay zekâ' veya 'robot' ifadesi hem bir kelime tuzağı hem de sosyal bilimin teknik araştırma konusunu incelemesinden kaynaklanan epistemik karışmadır.,"Nitel araştırmalarda dijital veri analizi yazılımlarının (NVivo, MAXQDA, Atlas.ti) ve yapay zekâ araçlarının metodolojik, epistemolojik ve etik boyutlarının kaynak taramasıyla incelendiği doğrudan bir sosyal bilimler metodolojisi, araştırma etiği ve sosyoloji araştırmasıdır; çalışmada yazılım algoritması geliştirme, sibernetik sistem tasarımı veya kodlama bulunmayıp modelin 'Bilgisayar Bilimleri, Sibernitik' ve k-NN'in 'Bilgisayar Bilimleri' önerisi metindeki 'dijital araçlar / yazılım / yapay zekâ' ifadelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Bilim Felsefesi ve Tarihi, Felsefe, Sosyoloji' etiketleri tam ve doğrudur."
1395564,Giyilebilir Teknoloji Ürünlerinin Bedenleşme ve Zihinsel Bütünleşmesinin Kullanım Algısı Üzerindeki Etkisinin İncelenmesi,"Davranış Bilimleri, İşletme",Telekomünikasyon,Context/domain transfer,Keyword / surface-form trap,False,,,"Giyilebilir teknoloji kullanan bireylerde bedenleşme ve zihinsel bütünleşmenin algılanan fayda, estetik ve kullanım devamlılığına etkilerinin AMOS yol analizi ve doğrulayıcı faktör analiziyle incelendiği bir tüketici davranışı, pazarlama ve işletme araştırmasıdır; çalışmada telekomünikasyon donanımı veya haberleşme mühendisliği bulunmayıp modelin 'Telekomünikasyon' (Mühendislik) önerisi başlıktaki ve özetteki 'teknoloji' kelimesinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Davranış Bilimleri, İşletme' etiketleri tam ve doğrudur."
1389173,Gürültülü İşyerlerinde İşle İlgili Faktörler ve İşitme Koruyucu Cihaz Kullanımı Arasındaki İlişki: Kesitsel Araştırma,"Odyoloji ve Konuşma-Dil Patolojisi, Sağlık Politikaları ve Hizmetleri",Telekomünikasyon,Neighboring discipline drift,Keyword / surface-form trap,False,,,"Gürültülü işyerlerinde çalışan 423 personelde işitme koruyucu donanım/cihaz (İKC) kullanımına etki eden davranışsal faktörlerin, iş sağlığı güvenliği ve risk tutumlarının anket ve ölçeklerle incelendiği bir odyoloji, iş sağlığı ve halk sağlığı araştırmasıdır; çalışmada kablosuz iletişim, sinyal işleme veya telekomünikasyon mühendisliği bulunmayıp modelin 'Telekomünikasyon' (Mühendislik) önerisi 'cihaz/gürültü' kelimelerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Odyoloji ve Konuşma-Dil Patolojisi, Sağlık Politikaları ve Hizmetleri' etiketleri tam ve doğrudur."
1354198,XCOM PROGRAMI VE DENEYSEL VERİLERLE SEKİZ AĞAÇ TÜRÜNÜN RADYASYON TUTUCULUK ÖZELLİKLERİNİN ARAŞTIRILMASI,"Malzeme Bilimleri, Kaplamalar ve Filmler, Polimer Bilimi","Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",Neighboring discipline drift,Keyword / surface-form trap,False,,,"Sekiz farklı ahşap/ağaç türünün gama radyasyon zayıflatma ve zırhlama parametrelerinin (LAC, MAC, HVL, TVL, MFP) NaI(Tl) dedektörü ve XCOM nükleer simülasyonu ile incelendiği bir radyasyon fiziği ve malzeme karakterizasyonu çalışmasıdır; çalışmada klinik görüntüleme veya nükleer tıp bulunmayıp modelin 'Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme' (Tıp) önerisi radyasyon/spektroskopi terimlerinden kaynaklanan bir model yanılgısıdır (FP-1; nitekim k-NN Fizik demiştir). Mevcut Malzeme Bilimleri etiketleri korunmalıdır."
1396886,Van Gölü Havzası Seramiklerinde Kullanılan Motifler ve Boyalar,Arkeoloji,"Mühendislik, Deniz",Semantic hub / unrelated semantic drift,Keyword / surface-form trap,True,Keyword / surface-form trap,Van Gölü ifadesi coğrafi bir su kütlesi çağrışımı yaparak Deniz hub'ına çekilmeye zemin hazırlamıştır.,"Van Gölü Havzası'nda Kalkolitik Çağ'dan Urartu Krallığı'na kadar seramik üretimindeki pigment kullanımı, motif repertuarı, tipoloji ve bezeme tekniklerinin incelendiği bir arkeoloji ve arkeometri araştırmasıdır; çalışmada deniz teknolojisi bulunmayıp modelin 'Mühendislik, Deniz' önerisi başlıktaki ve özetteki 'Van Gölü / Havzası' ifadelerinden kaynaklanan bariz bir model halüsinasyonudur (FP-1; nitekim k-NN seramik boyutuyla Malzeme Bilimleri demiştir). Mevcut 'Arkeoloji' etiketi tam ve doğrudur."
1447310,Millet Meclisi’nde Bingöl İlinin Sorunları ve Çözüm Arayışları (1961-1980),"Siyasi Bilimler, Tarih",Tarımsal Ekonomi ve Politika,Context/domain transfer,Keyword / surface-form trap,False,,,"1961-1980 yılları arasındaki TBMM meclis tutanakları üzerinden Bingöl milletvekillerinin dile getirdiği kentsel altyapı, eğitim, sağlık ve tarım-hayvancılık gibi sosyo-ekonomik sorunların incelendiği bir siyasi tarih ve parlamento tarihi araştırmasıdır; çalışmada ziraat mühendisliği veya tarımsal ekonomi modellemesi bulunmayıp modelin 'Tarımsal Ekonomi ve Politika' (Ziraat) önerisi özetteki 'çiftçi/tarım/hayvancılık' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Siyasi Bilimler, Tarih' etiketleri tam ve doğrudur."
1418778,UZAKTAN ÇALIŞMA YÖNTEMİNİN MENTAL İYİ OLUŞ ÜZERİNDEKİ ETKİSİNDE PROSOSYAL MOTİVASYONUN ARACI ROLÜ,"Psikoloji, İşletme","Mühendislik, Petrol",Semantic hub / unrelated semantic drift,Keyword / surface-form trap,True,Keyword / surface-form trap,"Giriş metnindeki '1970 petrol krizi' tarihsel ifadesi kelime tuzağı oluşturmuş, ancak modelin bunu doğrudan Petrol Mühendisliğine sürüklemesi semantik hub etkisini gösterir.","Uzaktan çalışma yönteminin çalışanların mental iyi oluşu ve prososyal motivasyonu üzerindeki etkilerinin 224 katılımcı anketiyle incelendiği bir örgütsel davranış, insan kaynakları yönetimi ve iş psikolojisi araştırmasıdır; çalışmada petrol arama, sondaj veya petrol mühendisliği bulunmayıp modelin 'Mühendislik, Petrol' önerisi giriş cümlesindeki '1970 petrol krizi' tarihsel arka plan ifadesinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Psikoloji, İşletme' etiketleri tam ve doğrudur."
1405453,TELIF HUKUKU KAPSAMINDA METIN VE VERI MADENCILIĞINE ILIŞKIN MUKAYESELI BIR ANALIZ VE TÜRK HUKUKU IÇIN MODEL ÖNERISI,Hukuk,"Bilgisayar Bilimleri, Sibernitik",Research topic -> discipline confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Başlıktaki 'yapay zekâ' veya 'robot' ifadesi hem bir kelime tuzağı hem de sosyal bilimin teknik araştırma konusunu incelemesinden kaynaklanan epistemik karışmadır.,"Metin ve veri madenciliği (TDM) ile yapay zekâ model eğitiminde telif hakları, çoğaltma istisnaları ve mukayeseli yasal düzenlemelerin (AB CDSM Direktifi, ABD adil kullanım vb.) incelendiği bir fikri mülkiyet ve bilişim hukuku araştırmasıdır; çalışmada teknik algoritma veya yazılım geliştirme bulunmayıp modelin 'Bilgisayar Bilimleri, Sibernitik' (Mühendislik) önerisi başlıktaki ve özetteki 'veri madenciliği / yapay zekâ' ifadelerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Hukuk' etiketi tam ve doğrudur."
1403661,Sonik Uygulama Modunun İki Farklı Adeziv Sistemin Mikrogerilim Bağlanma Dayınımı Değerleri Üzerindeki Etkisi,Diş Hekimliği,Akustik,Method -> discipline confusion,Object/material -> discipline confusion,True,Object/material -> discipline confusion,Çalışma hem dental adeziv biyomalzeme (materyal) hem de sonik aktivasyon cihazı (yöntem/araç) içermektedir.,İnsan molar dişlerinde farklı dental adeziv sistemlerin sonik aktivasyonla uygulanmasının dentine mikrogerilim bağlanma dayanımı (μTBS) ve kompozit rezin restorasyonu üzerindeki etkilerinin incelendiği bir restoratif diş hekimliği ve dental biyomalzeme araştırmasıdır; çalışmada ses dalgaları fiziği veya akustik modelleme bulunmayıp modelin 'Akustik' önerisi başlıktaki ve özetteki dental 'sonik aktivasyon' el aleti teriminden kaynaklanan bir kelime tuzağı ve model yanılgısıdır (FP-1; nitekim k-NN dental biyomalzeme boyutuyla Malzeme Bilimleri demiştir). Mevcut 'Diş Hekimliği' etiketi tam ve doğrudur.
1206068,Finite element analysis of the cervical spine and soft tissue of the neck at different flexion angles,"Biyofizik, Nörolojik Bilimler, Sağlık Bilimleri ve Hizmetleri, Spor Bilimleri",Oşinografi,Semantic hub / unrelated semantic drift,Method -> discipline confusion,True,Method -> discipline confusion,Tıbbi biyofizik ve biyomekanik omurga çalışması Oşinografi hub'ına çekilmiştir; kullanılan simülasyon/ölçüm metodolojisinin hub çekimine katkısı mevcuttur.,"Farklı boyun fleksiyon açılarında servikal omurga ve yumuşak dokulardaki gerilme dağılımlarının sonlu elemanlar analizi (ANSYS) ile incelendiği bir biyomekanik ve ergonomi çalışmasıdır; modelin tamamen ilgisiz biçimde 'Oşinografi' (Okyanus/Deniz Bilimi) önermesi bariz bir model halüsinasyonudur (FP-1). Mevcut 'Biyofizik, Sağlık Bilimleri' etiketleri geçerlidir."
1393426,Blinking without eyelids: first video-documented evidence of a blink-like reflex in Ophisops elegans (Reptilia: Lacertidae),"Biyoloji, Zooloji",Göz Hastalıkları,Cross-domain transfer,Keyword / surface-form trap,True,Keyword / surface-form trap,"Kertenkele göz refleksi veya Van kedisi sağırlığında klinik organ adları ('ocular/blinking', 'deafness') kelime tuzağı oluşturarak beşeri tıbba transferi tetiklemiştir.","Göz kapağı bulunmayan tarla kertenkelesinde (Ophisops elegans) oküler kas kontraksiyonları ve göz kırpma benzeri refleks adaptasyonunun video-endoskopik olarak incelendiği doğrudan bir zooloji, herpetoloji ve karşılaştırmalı hayvan fizyolojisi araştırmasıdır; çalışmada insan klinik oftalmolojisi veya göz patolojisi bulunmayıp modelin 'Göz Hastalıkları' (Tıp) önerisi metindeki 'ocular/blinking/eyelids' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Biyoloji, Zooloji' etiketleri tam ve doğrudur."
1403662,Yapıştırma İşlemlerinin Yaşlanmış Üniversal Kompozitlerin Onarım Bağ Dayanımına Etkisi,Diş Hekimliği,Polimer Bilimi,Object/material -> discipline confusion,Keyword / surface-form trap,False,,,Yaşlanmış dental üniversal kompozit rezinlerin farklı yüzey işlemleri ve dental adeziv sistemlerle onarım makaslama bağ dayanımının (MPa) ve kırılma tiplerinin incelendiği bir restoratif diş hekimliği ve dental biyomalzeme araştırmasıdır; çalışmada polimer sentezi veya kimyasal polimer mühendisliği bulunmayıp modelin 'Polimer Bilimi' (Mühendislik) önerisi dental kompozit ve yapıştırıcı ifadelerinden kaynaklanan bir model yanılgısıdır (FP-1; nitekim k-NN dental biyomalzeme boyutuyla Malzeme Bilimleri demiştir). Mevcut 'Diş Hekimliği' etiketi tam ve doğrudur.
1372974,TBDY-2018 Esaslı Zemin Sıvılaşma Potansiyelinin Çözümlenmesinde Enerji Oranı Düzeltme Katsayısının Etkisi,"Mühendislik, Jeoloji, İnşaat Mühendisliği",Su Kaynakları,Neighboring discipline drift,Keyword / surface-form trap,True,Keyword / surface-form trap,Zemin mekaniğindeki sıvılaşma kavramı hidroloji/su kaynakları ile komşudur; 'sıvılaşma/su' kelimesi de tuzağı beslemiştir.,"TBDY-2018 deprem yönetmeliği kapsamında SPT deneyi enerji düzeltme katsayısının (CE) zemin sıvılaşma potansiyeli ve güvenlik katsayısı üzerindeki etkilerinin incelendiği doğrudan bir geoteknik ve deprem/inşaat mühendisliği çalışmasıdır; çalışmada hidroloji veya su kaynakları yönetimi bulunmayıp modelin 'Su Kaynakları' önerisi 'sıvılaşma/su' kelimelerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Mühendislik, Jeoloji, İnşaat Mühendisliği' etiketleri tam ve doğrudur."
1365901,"In vivo evaluation of the efficacy of Cymbopogon citratus (lemongrass), Allium sativum (garlic), Leptospermum scoparium (manuka), and Litsea cubeba essential oils on Varroosis and Nosemosis co-infection in honey bees under field conditions","Parazitoloji, Veterinerlik",Tropik Tıp,Cross-domain transfer,,False,,,"Bal arılarında (Apis mellifera) kovan içi Varroosis (akar) ve Nosemosis (mikrosporidya) karma paraziter enfestasyonlarına karşı uçucu yağların in vivo etkinliğinin incelendiği bir veteriner parazitolojisi ve arı sağlığı araştırmasıdır; modelin 'Tropik Tıp' (Tıp) önerisi bitki isimleri (lemongrass vb.) ve enfeksiyon terimlerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Parazitoloji, Veterinerlik' etiketleri tam ve doğrudur."
1364871,Agramatik Broca afazisinde fiil üretimi eğitiminin sistematik bir incelemesi,"Klinik Nöroloji, Odyoloji ve Konuşma-Dil Patolojisi, Psikiyatri",Bahçe Bitkileri,Object/material -> discipline confusion,,False,,,"Agramatik Broca afazisi olan bireylerde fiil hatırlama ve fiil çekimi eğitimlerinin isimlendirme doğruluğu, cümle üretimi ve genelleme üzerindeki etkilerinin PRISMA 2020 kılavuzuna göre incelendiği doğrudan bir kliniki nöroloji, dil ve konuşma bozuklukları patolojisi ve nörolinguistik araştırmasıdır; sistemin ve modelin önerdiği 'Bahçe Bitkileri' ve 'Tarımsal Ekonomi' etiketleri tamamen absürt sistemsel çöp verilerdir (FP-1). Mevcut 'Klinik Nöroloji, Odyoloji ve Konuşma-Dil Patolojisi, Psikiyatri' ana kategorisi tam, eksiksiz ve %100 doğrudur."
1389941,Türkiye Üniversitelerinin Jeomorfoloji Alanındaki Lisansüstü Tezlerinin Bibliyometrik Analizi,"Bilim Felsefesi ve Tarihi, Coğrafya","Mühendislik, Jeoloji",Neighboring discipline drift,,True,Method -> discipline confusion,Jeomorfoloji fiziki coğrafya ile jeoloji mühendisliğinin ortak ara kesitidir; bibliyometrik yöntemle tezler incelenmiştir.,"1944-2025 yılları arasında Coğrafya disiplini altında hazırlanmış 624 jeomorfoloji lisansüstü tezinin zamansal gelişimi, konu dağılımı ve Web-CBS haritalandırmasının yapıldığı bir fiziki coğrafya, bilim tarihi ve bibliyometri araştırmasıdır; çalışmada doğrudan jeoloji mühendisliği saha analizi bulunmayıp (özette belirtildiği üzere özellikle Coğrafya disiplini incelenmiştir) modelin 'Mühendislik, Jeoloji' önerisi 'jeomorfoloji' kelimesinden kaynaklanan bir model yanılgısıdır (FP-1; nitekim k-NN bibliyometri boyutuyla Bilgi/Kütüphanecilik demiştir). Mevcut 'Bilim Felsefesi ve Tarihi, Coğrafya' etiketleri tam ve doğrudur."
1407072,Cumhuriyet modernleşmesinin kırsal ölçekte kurgulanan tarımsal araştırma enstitüleri (yerleşkeleri): Adapazarı Tohum Islah ve Deneme İstasyonu,"Mimarlık, Tarih",Tarımsal Ekonomi ve Politika,Context/domain transfer,Keyword / surface-form trap,False,,,"Erken Cumhuriyet dönemi modernleşmesi bağlamında Adapazarı (Arifiye) Tohum Islah ve Deneme İstasyonu yerleşkesinin mekânsal kurgusu, fiziksel yapılanması ve kırsal mimari miras değerinin incelendiği bir mimarlık tarihi ve Cumhuriyet tarihi araştırmasıdır; çalışmada ziraat mühendisliği veya tarımsal ekonomi analizi bulunmayıp modelin 'Tarımsal Ekonomi ve Politika' önerisi 'tarımsal araştırma/üretim' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Mimarlık, Tarih' etiketleri tam ve doğrudur."
1375992,Elle Yazılıp İmzalandıktan Sonra İstiflenen Kağıt Belgeler Arasında Difüzyona İzin Veren Bir Ortamda GC-MS Yöntemiyle Mürekkep Yaşı Tayininin Değerlendirilmesi,Adli Tıp,"Bilgi, Belge Yönetimi",Neighboring discipline drift,Keyword / surface-form trap,False,,,"Adli belge sahteciliğinin tespiti amacıyla tükenmez kalem mürekkebindeki fenoksietanol uçucu bileşeninin gaz kromatografisi-kütle spektrometrisi (GC-MS) ile kimyasal yaş tayininin yapıldığı doğrudan bir adli bilimler ve adli kimya araştırmasıdır; çalışmada kütüphanecilik veya arşiv tasnifi bulunmayıp modelin 'Bilgi, Belge Yönetimi' önerisi başlıktaki ve özetteki 'belge' kelimesinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Adli Tıp' (Adli Bilimler) etiketi korunmalıdır."
1406207,Yapay Zekâ Tarafından Üretilen İçeriklerin Türk Telif Hukuku Bakımından Değerlendirilmesi,Hukuk,"Bilgisayar Bilimleri, Yapay Zeka",Research topic -> discipline confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Başlıktaki 'yapay zekâ' veya 'robot' ifadesi hem bir kelime tuzağı hem de sosyal bilimin teknik araştırma konusunu incelemesinden kaynaklanan epistemik karışmadır.,"Yapay zekâ tarafından üretilen eserlerin FSEK kapsamında telif ve eser sahipliği boyutunun hukuki analizidir; ""yapay zekâ"" ifadesi modeli teknik Bilgisayar Bilimlerine yanıltmıştır. Mevcut Hukuk etiketi doğrudur."
1391323,GÖNÜLLÜ RAPORLAMA ÇERÇEVELERİ VE STANDARTLARI KONUSUNDA YAYINLANAN ÇALIŞMALARIN BİBLİYOMETRİK ANALİZİ: WEB OF SCIENCE VE SCOPUS ÖRNEĞİ,"Bilgi, Belge Yönetimi, İşletme",İstatistik ve Olasılık,Method -> discipline confusion,Keyword / surface-form trap,False,,,"Küresel Raporlama Girişimi (GRI), SASB, CDP ve Entegre Raporlama (IR) gibi kurumsal sürdürülebilirlik ve muhasebe standartları literatürünün VOSviewer ve R-Studio ile bibliyometrik haritalandırmasının yapıldığı bir kurumsal raporlama/muhasebe ve bibliyometri araştırmasıdır; çalışmada teorik matematiksel istatistik veya olasılık teorisi bulunmayıp modelin 'İstatistik ve Olasılık' (Fen) önerisi bibliyometrik veri analizinden kaynaklanan bariz bir model yanılgısıdır (FP-1). Mevcut 'Bilgi, Belge Yönetimi, İşletme' etiketleri çalışmanın iki temel ayağını tam ve doğru karşılamaktadır."
1383483,Bazı Bitkisel Sabit ve Uçucu Yağların Üç Penicillium Türüne Karşı Antifungal Aktivitelerinin Belirlenmesi,"Mantar Bilimi, Bitki Bilimleri",Toksikoloji,Neighboring discipline drift,Keyword / surface-form trap,False,,,"Narenciye depolama sürecinde çürümeye yol açan Penicillium türlerine (P. digitatum, P. italicum, P. notatum) karşı bitkisel uçucu ve sabit yağların (kekik, nane, limon) antifungal/fungisidal aktivitelerinin incelendiği doğrudan bir fitopatoloji, bitki koruma ve mikoloji araştırmasıdır; çalışmada insan/hayvan toksikolojisi veya toksikolojik risk analizi bulunmayıp modelin 'Toksikoloji' önerisi MİK/MFK ve mikrobiyal inhibisyon terimlerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Mantar Bilimi, Bitki Bilimleri' etiketleri tam ve doğrudur."
1355949,ORTA ÇAĞ İNGİLTERE MANOR ÇİFTLİKLERİNDE ÜRETİM VE SÜRDÜRÜLEBİLİRLİK,"Ortaçağ ve Rönesans Çalışmaları, Tarih",Tarımsal Ekonomi ve Politika,Context/domain transfer,Keyword / surface-form trap,False,,,"Orta Çağ İngiltere'sindeki feodal malikâne (manor) sisteminde köylülerin tarımsal üretim yapısı, iş gücü örgütlenmesi ve feodal ekosistemin çöküşünün incelendiği doğrudan bir Orta Çağ tarihi ve iktisat tarihi araştırmasıdır; çalışmada modern ziraat mühendisliği veya güncel tarım politikası bulunmayıp modelin 'Tarımsal Ekonomi ve Politika' (Ziraat) önerisi özetteki 'tarım/çiftçi/üretim' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Ortaçağ ve Rönesans Çalışmaları, Tarih' etiketleri tam ve doğrudur."
1367081,GÖRSEL KÜLTÜRÜN İZİNDE: SİNEMA ENDÜSTRİSİ ALANINDAKİ YAYINLARIN HARİTALANMASI,"Film, Radyo, Televizyon","Malzeme Bilimleri, Kaplamalar ve Filmler",Polysemy / sense confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Türkçe/İngilizce 'film' (sinema eseri vs. ince film kaplama) eş seslilik örneğidir; doğrudan kelimenin sözlük anlamı karışıklığına dayanır.,"Sinema endüstrisi literatürünün bibliyometrik haritalamasıdır; İngilizce ""film"" kelimesi modeli fiziksel ince film malzemesi alanına yanıltmıştır. Mevcut Film/Radyo/TV etiketi doğrudur."
1403826,Crenarchaeal 3HP/4HB Karbon Fiksasyon Döngüsünden AMP Oluşturan Sentetazların Yapısal ve Silico Analizi,"Biyokimya ve Moleküler Biyoloji, Mikrobiyoloji","Kimya, Uygulamalı",Neighboring discipline drift,,False,,,"Termoasidofilik Krenarkeota (Metallosphaera sedula, Sulfolobus tokodaii) arkelerindeki 3HP/4HB karbon fiksasyon döngüsünde görev alan AMP-oluşturan Açil-KoA sentetaz enzimlerinin heterolog ekspresyonu, saflaştırılması, katalitik mekanizması ve AlphaFold 3 in silico yapısal analizlerinin incelendiği doğrudan bir biyokimya, moleküler biyoloji, enzimoloji ve mikrobiyoloji araştırmasıdır; çalışmada endüstriyel/uygulamalı kimya süreçleri bulunmayıp modelin 'Kimya, Uygulamalı' önerisi biyokimyasal ara ürün isimlerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Biyokimya ve Moleküler Biyoloji, Mikrobiyoloji' etiketleri kusursuz ve eksiksizdir."
1401493,"Akkaya, M. A. (Ed.). (2025). Bilgi, Bilim ve Bilgi Merkezleri Odağında Etik. Hiperyayın. ISBN: 978-625-5884-70-1","Bilgi, Belge Yönetimi, Etik",Tıbbi Etik,Neighboring discipline drift,Keyword / surface-form trap,False,,,"Bilgi ve Belge Yönetimi (BBY), bilgi merkezleri, kütüphanecilik ve müzecilik etiği üzerine odaklanan bir akademik kitap incelemesidir; çalışmada tıp etiği, hasta hakları veya klinik biyoetik bulunmayıp modelin 'Tıbbi Etik' ve k-NN'in 'Bilgisayar Bilimleri' önerisi metindeki 'etik' ve 'dijital/teknoloji' kelimelerinden kaynaklanan bariz bir model yanılgısıdır (FP-1). Mevcut 'Bilgi, Belge Yönetimi, Etik' etiketleri tam ve doğrudur."
1367705,SİNYAL GELİŞTİRME VE GÖRÜNTÜ BULANIKLIĞINI GİDERME İÇİN DEĞİŞTİRİLMİŞ Z-İTERATİF YÖNTEMİ,"Bilgisayar Bilimleri, Yazılım Mühendisliği, Görüntüleme Bilimi ve Fotoğraf Teknolojisi, Mühendislik, Elektrik ve Elektronik",İstatistik ve Olasılık,Method -> discipline confusion,,False,,,"Banach uzaylarında genişlemeyen eşlemelerin sabit noktaları, güçlü/zayıf yakınsama teoremleri ve bu iteratif yöntemin görüntü bulanıklığı giderme (deblurring) ile sinyal iyileştirmede kullanımının incelendiği bir fonksiyonel analiz, optimizasyon ve sinyal/görüntü işleme araştırmasıdır; çalışmada olasılık veya stokastik modelleme bulunmayıp modelin 'İstatistik ve Olasılık' önerisi sayısal hesaplama ve hata yakınsamalarından kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Görüntüleme Bilimi, Elektrik-Elektronik, Yazılım Mühendisliği' etiketleri teknik ve algoritmik yapıyı tam karşılamaktadır."
1307965,Nevşehir İline Ait Volkanik Taş Yüzeyine Seramik Sır Araştırmaları Ve Eserlerinde Malzeme Olarak Volkanik Taş Kullanan Sanatçılar,"Malzeme Bilimleri, Seramik, Sanat",Mineraloji,Object/material -> discipline confusion,Keyword / surface-form trap,False,,,"Nevşehir volkanik taş numuneleri üzerine seramik sır uygulamaları (üçgen faz diyagramı, fırınlama, ısıl dayanıklılık) ve volkanik taş kullanan sanatçıların artistik eserlerinin incelendiği doğrudan bir seramik ve cam tasarımı, seramik mühendisliği ve görsel sanatlar araştırmasıdır; çalışmada petrografik kristal yapı analizi veya mineralojik saha jeolojisi bulunmayıp model ve k-NN'in 'Mineraloji/Jeoloji' önerisi metindeki 'volkanik taş/magma' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Malzeme Bilimleri, Seramik, Sanat' etiketleri araştırmanın hem mühendislik hem de sanat boyutunu tam ve doğru karşılamaktadır."
1400905,Girinti Yazılarının Spektral Cihazlar ve Elektrostatik Tespit Cihazı Kullanımı ile Okunabilirliğinin Karşılaştırılması: Deneysel Bir Çalışma,Adli Tıp,"Mühendislik, Elektrik ve Elektronik",Method -> discipline confusion,Keyword / surface-form trap,False,,,"Adli belge incelemelerinde ESDA ile spektral görüntüleme cihazlarının kalem girinti yazılarının okunabilirliği üzerindeki başarı düzeylerinin eksper değerlendirmesiyle karşılaştırıldığı doğrudan bir adli tıp, adli bilimler ve kriminalistik araştırmasıdır; çalışmada elektrik/elektronik devre tasarımı veya cihaz imalatı olmayıp modelin 'Mühendislik, Elektrik ve Elektronik' önerisi cihaz adından kaynaklanan bir kelime tuzağıdır. Mevcut 'Adli Tıp' etiketi tam ve doğrudur."
1404485,"Monolitik Zirkonyada Farklı Polisaj Sistemlerinin Yüzey Pürüzlülüğü, Mikrosertlik, Faz Dönüşümü ve Eğilme Dayanımı Üzerindeki Etkileri",Diş Hekimliği,Polimer Bilimi,Object/material -> discipline confusion,,False,,,"Monolitik zirkonya (ZrO2) dental biyoseramik disklerinin yüzey parlatma sistemleri ve otoklav yaşlandırması sonrası yüzey pürüzlülüğü, Vickers sertliği, AFM/SEM morfolojisi, tetragonal-monoklinik faz dönüşümü ve eğilme dayanımının incelendiği bir protetik diş hekimliği ve dental seramik araştırmasıdır; zirkonya inorganik bir ileri teknoloji seramiği olup organik polimer değildir. Modelin 'Polimer Bilimi' önerisi malzeme kimyası açısından bariz bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' etiketi ve k-NN uzlaşısı tam ve doğrudur."
1345320,"Bacteridium izmirensis (Gastropoda: Murchisonellidae), Ege Denizi’nden yeni bir tür",Zooloji,Mikrobiyoloji,Keyword / surface-form trap,Neighboring discipline drift,True,Neighboring discipline drift,Salyangoz cins adı olan Bacteridium kelimesi bakteri sanılmıştır; zooloji ile mikrobiyoloji arasında sözcük benzerliği sınır kaymasıdır.,Ege Denizi'nden (İzmir Körfezi) yeni keşfedilen bir denizel yumuşakça türünün (Gastropoda: Murchisonellidae sınıfından Bacteridium izmirensis sp. nov.) taksonomik ve morfolojik özelliklerinin incelendiği doğrudan bir zooloji ve malakoloji araştırmasıdır; çalışmada mikroorganizmalar veya bakteri bilimi bulunmayıp modelin 'Mikrobiyoloji' önerisi cins adındaki 'Bacteridium' kelimesinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Zooloji' etiketi tam ve doğrudur.
1372540,Geleneksel İgbo Dininde Doğum Ritüelleri,"Antropoloji, Din Bilimi, Etnik Çalışmalar",Kadın Hastalıkları ve Doğum,Neighboring discipline drift,Keyword / surface-form trap,False,,,"Geleneksel İgbo dininde doğum ritüelleri ve inançlarının antropolojik/tarihsel analizidir; ""doğum"" kelimesi modeli hatalı şekilde klinik tıp alanı olan Kadın Hastalıkları ve Doğum'a yanıltmıştır (Dinler Tarihi/Antropoloji konusudur)."
